,rowlabels,collabels,s0,s1,c0,c1,a0,a1,num0,num1,numTot,date
362,G03_sgFLCN_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,12.73065515016173,14.27547678833533,-0.7127908664199702,1.4260502318609207,-6.814909732454481,9.152814844424881,146.0,126.15151515151516,556.3,2022-03-23
363,G04_sgLAMTOR_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,12.486813149452118,13.424510684244451,-0.40862645423889005,1.6252042934693152,-4.6191074369077825,10.389738234143707,260.92857142857144,254.54545454545453,1305.62,2022-03-23
364,G05_sgCONTROL-NEW_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,13.710099745551641,15.31700316786838,-0.13351550939545168,2.5861228077679628,-0.17126636127970585,13.91935002187472,151.07142857142858,156.21212121212122,784.58,2022-03-23
365,G06_sgCONTROL_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,12.622321575171965,14.812913964307205,-0.9328431406113175,1.2672330316966334,-7.469928863849503,6.164610792901598,188.78571428571428,161.0,1022.02,2022-03-23
366,G07_sgFLCN_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,11.871399981415042,13.859453496580429,0.12125269892087516,1.2181036944133041,1.4839155878182453,9.15152030130777,157.35714285714286,145.0909090909091,537.86,2022-03-23
367,G08_sgLAMTOR_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,12.974473352749593,14.496682031804495,0.006232618950134227,1.671737877593364,1.7782065801158637,9.462139433589186,197.14285714285714,178.3939393939394,1074.9,2022-03-23
368,G09_sgCONTROL-NEW_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,13.497613864835541,14.734918873808558,0.31376062050820924,1.9609227584058957,-0.4903501257127232,10.244003772268215,133.21428571428572,126.45454545454545,723.46,2022-03-23
369,G10_sgCONTROL_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,12.609641231416708,14.797420377636156,0.4210496603270607,2.488352964135876,3.0590656555391007,13.577938585859556,146.85714285714286,138.45454545454547,881.46,2022-03-23
370,G11_sgFLCN_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,11.554545509495993,14.04899855428322,-0.061083691500739445,1.3123024173190654,-2.1554578452502398,9.018519074505306,130.64285714285714,127.3030303030303,519.64,2022-03-23
371,G12_sgLAMTOR_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,12.174291585417977,13.769759979023732,-0.45231655631465667,1.081358947966343,-5.453314777927005,7.088656267065602,206.85714285714286,183.27272727272728,1051.52,2022-03-23
372,H01_sgCONTROL-NEW_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,10.999124612030517,11.8145511934956,-0.3990429002318085,1.384876199475161,-7.8061836422864275,10.717004113520119,160.07142857142858,151.15151515151516,777.62,2022-03-23
373,H02_sgCONTROL_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,10.88856750197125,12.56284538169858,-0.04548135904650904,1.8325689017418005,-1.5052783678917052,12.108925605808196,167.14285714285714,159.8181818181818,974.7,2022-03-23
374,H03_sgFLCN_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,11.073844109498323,12.87028137021446,-0.21278813950228878,1.2734889175034445,-0.4993790810929539,9.978282076902516,148.85714285714286,133.8181818181818,617.3,2022-03-23
