,E_field,cell,celltype,concentration,date,fMLP,frame,framerate,magnification,material,scope,trial,x,x_corr,y,y_corr,z
81,5.0,35.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,181.8671522324646,0.0,264.09468533060203,0.0,66.99148048941677
82,5.0,36.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,600.7806549885757,0.0,283.6570195481087,0.0,62.409516178559095
83,5.0,37.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,201.87411598302688,0.0,287.32909005186235,0.0,71.1817729294526
84,5.0,38.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,79.120559114735,0.0,99.54377790720248,0.0,73.81453394897952
85,5.0,39.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,193.90007966313874,0.0,402.9589165813133,0.0,74.30311698559873
86,5.0,40.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,61.353135313531354,0.0,357.91254125412536,0.0,75.9262388586967
87,5.0,41.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,41.304469429993844,0.0,392.9294624377692,0.0,74.56297984644914
88,5.0,42.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,110.54570573336403,0.0,87.68132627216211,0.0,77.71805407005616
89,5.0,43.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,45.362467281210876,0.0,159.01900534881074,0.0,78.5863195927808
90,5.0,44.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,161.41068652319777,0.0,319.1555519188282,0.0,77.79000747221271
91,5.0,0.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,44.27437338328427,0.0,56.262599232896264,0.0,10.3401123566299
92,5.0,1.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,550.7865072221508,0.0,71.18426128327118,0.0,1.4720158031156216
