,gene,log2fold_diff_mean,exp,pvalue
210,ACTL9,-0.020798778583043135,growth,0.412648331255612
211,ACTN1,0.0497963721931462,growth,0.7399953236088429
212,ACTN2,0.033865287704856,growth,0.9436456972513304
213,ACTN3,0.03727104838452964,growth,0.9035121951740868
214,ACTN4,0.10447958190515387,growth,0.2211283977375128
215,ACTR10,-0.9562785059894384,growth,9.716166958532225e-08
216,ACTR1A,-0.85980950130983,growth,1.943233391706445e-07
217,ACTR1B,-0.026245130367115167,growth,0.3686400217953057
218,ACTR2,-0.26131719305600226,growth,0.008420224609603197
219,ACTR3,-0.14639643020893545,growth,0.010743068644379496
220,ACTR3B,0.020603781661831033,growth,0.8831491496240645
221,ACTR3C,-0.016326490984140695,growth,0.4565854212121122
222,ACTR5,-0.8639078427004296,growth,9.716166958532225e-08
223,ACTR6,-0.982184708065874,growth,5.732538505534013e-06
224,ACTR8,-1.0239261474393135,growth,9.716166958532225e-08
225,ACTRT1,0.19184494091171453,growth,0.007930141148214831
226,ACTRT2,-0.10660045722451035,growth,0.03895988627032252
227,ACTRT3,-0.08201443490937846,growth,0.08599750226495997
228,ACVR1,-0.013424238296522404,growth,0.4864654522980168
229,ACVR1B,0.05994870329926713,growth,0.6145428963670232
230,ACVR1C,-0.06765466203518426,growth,0.12773407472869183
231,ACVR2A,-0.007618429426585732,growth,0.5465096151916934
232,ACVR2B,0.07959482256038668,growth,0.4078721550638063
233,ACVRL1,-0.08726257832821517,growth,0.0726839244900312
234,ACY1,0.13958866286120206,growth,0.07175253272538629
235,ACY3,-0.026293331576134563,growth,0.36667181785451586
236,ACYP1,-0.14979653557248443,growth,0.015751752711502857
237,ACYP2,0.024306199266149936,growth,0.9326543805411603
238,ADA,0.08914677213156019,growth,0.32361685869618073
239,ADA2,0.05403059659945326,growth,0.6869209559211997
240,ADAD1,0.12912285468362492,growth,0.10044777441236744
241,ADAD2,0.014659469814455072,growth,0.8081060426348321
242,ADAL,-0.04751382506917482,growth,0.22069185035606595
