,Unnamed: 0,gene,log2fold_diff_mean,exp,pvalue
71,71,ABCG1,-0.4387731024654152,tracketch_0_2hr,0.0828345012732793
72,72,ABCG2,0.1314706737290507,tracketch_0_2hr,0.589521337407063
73,73,ABCG4,0.1546670472267969,tracketch_0_2hr,0.5236614656186874
74,74,ABCG5,0.2865846151641411,tracketch_0_2hr,0.2341576804672349
75,75,ABCG8,0.3136722340351055,tracketch_0_2hr,0.1934624867781185
76,76,ABHD1,0.2499534990195752,tracketch_0_2hr,0.2991943985908837
77,77,ABHD10,-0.2633222280068216,tracketch_0_2hr,0.2783177564554335
78,78,ABHD11,-0.2187336829909619,tracketch_0_2hr,0.3630849004984345
79,79,ABHD12,0.1386893099372948,tracketch_0_2hr,0.5708346221423963
80,80,ABHD12B,-0.2330449773881912,tracketch_0_2hr,0.3343641052923524
81,81,ABHD13,-0.4697182468648158,tracketch_0_2hr,0.0692216655560278
82,82,ABHD14A,-0.0355805641984942,tracketch_0_2hr,0.86784531220935
83,83,ABHD14B,-0.1990211477754748,tracketch_0_2hr,0.4075941755271227
84,84,ABHD15,-0.1191279331920317,tracketch_0_2hr,0.6087951034793643
85,85,ABHD16A,-0.5045124333677823,tracketch_0_2hr,0.0480040831220026
86,86,ABHD16B,-0.278357311005148,tracketch_0_2hr,0.2522950436520662
87,87,ABHD17A,0.3940079985242748,tracketch_0_2hr,0.1055505109756494
88,88,ABHD17B,0.0731235655257161,tracketch_0_2hr,0.768983216244615
89,89,ABHD17C,0.11769388871886,tracketch_0_2hr,0.6318343700564446
90,90,ABHD2,0.189838142607285,tracketch_0_2hr,0.4311921217043187
91,91,ABHD3,0.1022399840677302,tracketch_0_2hr,0.678556404948269
92,92,ABHD4,-0.2175049235018167,tracketch_0_2hr,0.3685820162785633
93,93,ABHD5,-0.1034295290695959,tracketch_0_2hr,0.6567111581287226
94,94,ABHD6,-1.1155399632954222,tracketch_0_2hr,0.0001155252251369
95,95,ABHD8,-0.4960472451029362,tracketch_0_2hr,0.0530078119439771
96,96,ABI1,0.2228074820887453,tracketch_0_2hr,0.3570046203774546
