,cell,frame,x,y,celltype,position,aqctime,sampleset
116,7.0,3.0,671.5848758788923,191.73841297173198,sgLAMTOR1,0,30sec,1
117,24.0,3.0,234.7493617286257,509.39909085248144,sgLAMTOR1,0,30sec,1
118,22.0,3.0,118.08764209754308,524.1076885466324,sgLAMTOR1,0,30sec,1
119,3.0,3.0,249.839161131303,124.6146133600702,sgLAMTOR1,0,30sec,1
120,6.0,3.0,603.6959096606524,145.62850013224318,sgLAMTOR1,0,30sec,1
121,11.0,3.0,89.73230656398974,306.5306530653065,sgLAMTOR1,0,30sec,1
122,12.0,3.0,172.4098050830724,304.2791458633043,sgLAMTOR1,0,30sec,1
123,25.0,3.0,156.59722222222223,513.3766501650165,sgLAMTOR1,0,30sec,1
124,26.0,3.0,673.0673067306731,555.3555355535553,sgLAMTOR1,0,30sec,1
125,1.0,3.0,319.7249724972497,25.126512651265127,sgLAMTOR1,0,30sec,1
126,23.0,3.0,1.9734626523876877,485.26301609752807,sgLAMTOR1,0,30sec,1
127,5.0,3.0,487.357765627309,157.53903748583812,sgLAMTOR1,0,30sec,1
128,31.0,3.0,72.60112057717399,643.2911198096554,sgLAMTOR1,0,30sec,1
129,30.0,3.0,538.3672850043625,655.4720989340314,sgLAMTOR1,0,30sec,1
130,14.0,3.0,634.7430769567022,332.3497912705178,sgLAMTOR1,0,30sec,1
131,19.0,3.0,164.30239515179588,493.9532549746202,sgLAMTOR1,0,30sec,1
132,32.0,3.0,inf,inf,sgLAMTOR1,0,30sec,1
133,33.0,3.0,inf,inf,sgLAMTOR1,0,30sec,1
134,8.0,4.0,176.02545968882603,218.30209806694953,sgLAMTOR1,0,30sec,1
135,15.0,4.0,313.7648262642858,377.61828584605183,sgLAMTOR1,0,30sec,1
136,28.0,4.0,292.7978512136928,571.045675996171,sgLAMTOR1,0,30sec,1
137,4.0,4.0,24.8823592036623,133.6356861492601,sgLAMTOR1,0,30sec,1
138,6.0,4.0,603.0249231819733,146.1477182200979,sgLAMTOR1,0,30sec,1
