,cell,frame,x,y,celltype,position,aqctime,sampleset
52,52.0,0.0,4.922121171393157,349.061421979302,sgCtrl1,0,30sec,3
53,53.0,0.0,74.46277961129447,350.49871653832054,sgCtrl1,0,30sec,3
54,54.0,0.0,174.6983942091688,357.2759796988102,sgCtrl1,0,30sec,3
55,55.0,0.0,509.2734625575234,358.9674460403787,sgCtrl1,0,30sec,3
56,56.0,0.0,80.43486701611337,359.9106969520481,sgCtrl1,0,30sec,3
57,57.0,0.0,309.0634163017896,363.1178257267958,sgCtrl1,0,30sec,3
58,58.0,0.0,431.8633911172687,375.23626082744795,sgCtrl1,0,30sec,3
59,59.0,0.0,339.8572415381073,378.4634277381227,sgCtrl1,0,30sec,3
60,60.0,0.0,21.388404934914092,378.80423235456595,sgCtrl1,0,30sec,3
61,61.0,0.0,81.41152576796142,382.16806296014215,sgCtrl1,0,30sec,3
62,62.0,0.0,36.035682776198406,392.99741855373657,sgCtrl1,0,30sec,3
63,63.0,0.0,410.235031600326,396.2908031693858,sgCtrl1,0,30sec,3
64,64.0,0.0,608.6899599050814,396.43237050977825,sgCtrl1,0,30sec,3
65,65.0,0.0,274.5821782178218,398.32079207920793,sgCtrl1,0,30sec,3
66,66.0,0.0,245.6790702766959,400.1126178968608,sgCtrl1,0,30sec,3
67,67.0,0.0,559.7160578126778,402.39273927392736,sgCtrl1,0,30sec,3
68,68.0,0.0,439.22727351269157,402.1322551103278,sgCtrl1,0,30sec,3
69,69.0,0.0,266.26755698825696,403.42824980172435,sgCtrl1,0,30sec,3
70,70.0,0.0,41.00823680101721,418.05738647519144,sgCtrl1,0,30sec,3
71,71.0,0.0,332.53374117899597,415.7020580106791,sgCtrl1,0,30sec,3
72,72.0,0.0,78.80098689480599,432.6796757345638,sgCtrl1,0,30sec,3
73,73.0,0.0,282.03016563338576,431.325375528207,sgCtrl1,0,30sec,3
74,74.0,0.0,415.51976093131697,434.2150632973745,sgCtrl1,0,30sec,3
75,75.0,0.0,171.48778877887787,444.4752475247525,sgCtrl1,0,30sec,3
76,76.0,0.0,138.6433009498133,453.21278606733915,sgCtrl1,0,30sec,3
77,77.0,0.0,411.5524005230712,458.3000186811134,sgCtrl1,0,30sec,3
78,78.0,0.0,52.64026402640264,457.7405432850977,sgCtrl1,0,30sec,3
79,79.0,0.0,73.02635025407302,458.4804512197252,sgCtrl1,0,30sec,3
80,80.0,0.0,404.28389373590824,480.37120543737547,sgCtrl1,0,30sec,3
81,81.0,0.0,550.1370476030654,484.0325557979527,sgCtrl1,0,30sec,3
82,82.0,0.0,347.47640369132455,489.1635660381325,sgCtrl1,0,30sec,3
83,83.0,0.0,284.5281249436419,493.35786037620153,sgCtrl1,0,30sec,3
84,84.0,0.0,269.27354214020625,505.6542230098496,sgCtrl1,0,30sec,3
85,85.0,0.0,571.944854059874,507.39882498888187,sgCtrl1,0,30sec,3
86,86.0,0.0,49.32204063779872,517.7899717682611,sgCtrl1,0,30sec,3
87,87.0,0.0,468.5225473219968,534.9228196362237,sgCtrl1,0,30sec,3
88,88.0,0.0,70.68922138850657,534.3278722491083,sgCtrl1,0,30sec,3
89,89.0,0.0,656.0910234669876,534.4784202177124,sgCtrl1,0,30sec,3
90,90.0,0.0,248.08614882106767,543.8229389949304,sgCtrl1,0,30sec,3
91,91.0,0.0,91.68950793384423,543.763867912215,sgCtrl1,0,30sec,3
92,92.0,0.0,502.8310994364743,583.7677645315553,sgCtrl1,0,30sec,3
93,93.0,0.0,338.8911493889115,615.305092153051,sgCtrl1,0,30sec,3
94,94.0,0.0,389.84335053223634,614.7585181053316,sgCtrl1,0,30sec,3
95,95.0,0.0,190.26477990264777,624.0004822400048,sgCtrl1,0,30sec,3
96,96.0,0.0,388.9866143974803,626.2954214203146,sgCtrl1,0,30sec,3
97,97.0,0.0,103.22880196764923,632.4511538606332,sgCtrl1,0,30sec,3
98,98.0,0.0,626.299504950495,639.3564356435644,sgCtrl1,0,30sec,3
99,99.0,0.0,526.5302945388878,642.2691325736347,sgCtrl1,0,30sec,3
100,100.0,0.0,579.316226196263,660.1581088341392,sgCtrl1,0,30sec,3
101,101.0,0.0,554.6754675467547,662.7231953964626,sgCtrl1,0,30sec,3
102,102.0,0.0,638.5989566698605,671.8918343447248,sgCtrl1,0,30sec,3
103,90.0,1.0,248.14521452145215,543.8217821782179,sgCtrl1,0,30sec,3
104,65.0,1.0,274.7441650639884,398.4044447610229,sgCtrl1,0,30sec,3
105,92.0,1.0,502.47718889536014,583.7313143079014,sgCtrl1,0,30sec,3
106,96.0,1.0,388.8806965802963,626.7186293097395,sgCtrl1,0,30sec,3
107,69.0,1.0,265.8427886584279,403.28587603285877,sgCtrl1,0,30sec,3
108,82.0,1.0,346.95614139727223,488.92202473259374,sgCtrl1,0,30sec,3
109,8.0,1.0,4.5004500450045,54.749474947494754,sgCtrl1,0,30sec,3
110,19.0,1.0,394.7955004924577,128.08390786722651,sgCtrl1,0,30sec,3
111,101.0,1.0,555.8818320856476,662.3037913547453,sgCtrl1,0,30sec,3
112,74.0,1.0,415.957881502436,435.5712714128556,sgCtrl1,0,30sec,3
113,3.0,1.0,321.74188847456173,16.80853799665681,sgCtrl1,0,30sec,3
114,43.0,1.0,344.05682178956147,277.6795800385408,sgCtrl1,0,30sec,3
115,4.0,1.0,485.3489397522748,18.182546999639236,sgCtrl1,0,30sec,3
116,70.0,1.0,40.24854098313057,419.7613309718069,sgCtrl1,0,30sec,3
117,94.0,1.0,389.85469975568986,612.8455702713129,sgCtrl1,0,30sec,3
118,95.0,1.0,192.25566120968531,623.9682384079993,sgCtrl1,0,30sec,3
119,49.0,1.0,391.61166116611656,336.4961496149615,sgCtrl1,0,30sec,3
120,24.0,1.0,460.26402640264024,156.03286859298174,sgCtrl1,0,30sec,3
121,17.0,1.0,89.325440480556,115.35090016938202,sgCtrl1,0,30sec,3
